"File","Id","Status","Matched","Lines","OssLines","Vendor","Component","Version","Latest","Licenses","OssFile","ReleaseDate","Url","Purl","SourceHash","FileHash"
"web/src/features/mycombo/components/MyComboStatusSelect.test.tsx","snippet","pending","48%","10-21,53-81","41-52,119-147","jfolcini","agaric","0.1.3","0.1.3","GPL-3.0-only","src/components/ui/__tests__/select.test.tsx","2026-04-25","https://github.com/jfolcini/agaric","pkg:github/jfolcini/agaric","b6ba4f58969fd00af1f710fb9fd9e529","8737d0ceabc1bc7d766e3126b970f680"
"web/src/features/navigation-guard/dirty.ts","snippet","pending","47%","15-36","49-70","vanillagreen","@vanillagreen/pi-claude-bridge","1.3.0","1.8.0","MIT","src/query-state.ts","2026-06-01","https://www.npmjs.com/package/%40vanillagreen/pi-claude-bridge","pkg:npm/%40vanillagreen/pi-claude-bridge | pkg:github/vanillagreencom/kendex","8f9dab0991be4fece9646e5b9111a44d","a7187d7033dbc5a18afbe92618cb98af"
"web/src/features/onboarding/OnboardingBanner.test.tsx","snippet","pending","35%","17-32","524-539","golang","github.com/seanbao/mnemonas","v0.0.0-20260628155900-db08e4a2032f","v0.0.0-20260628155900-db08e4a2032f","MIT","web/src/pages/Trash.test.tsx","2026-06-28","https://proxy.golang.org/github.com/seanbao/mnemonas/@v/v0.0.0-20260628155900-db08e4a2032f.zip","pkg:golang/github.com/seanbao/mnemonas | pkg:github/seanbao/mnemonas","d1432129eb4892e25fe1a4bfd82b7712","79957b92ddb2f3fdbbd0af25f2ad0b72"
"web/src/features/preset/components/PresetCopyDialog.tsx","snippet","pending","23%","76-100","8688-8712","chumpmaterial","maps-by-any-means","0.6.0","0.6.0","","react/src/components/CampaignMapView.tsx","2026-04-12","https://github.com/chumpmaterial/maps-by-any-means","pkg:github/chumpmaterial/maps-by-any-means","c802c05c5cbf5fd32e38f2d7730676ac","177890fd6bc6795b98264ada0a5f0dc3"
"web/src/features/preset/components/PresetDeleteConfirmDialog.tsx","snippet","pending","50%","35-71","787-823","wedosoft","homepage","v1.0","v1.0","MIT","app/admin/page.tsx","2026-02-13","https://github.com/wedosoft/homepage","pkg:github/wedosoft/homepage","f377492625f6be723d77dc9d99928d87","25e4228903de2aa6e9c2002da7cb1def"
"web/src/features/setup/hooks/useCharacterSetups.test.ts","snippet","pending","89%","4-37","6-39","golang","github.com/jaegertracing/jaeger-ui","v2.20.0+incompatible","v2.20.0+incompatible","Apache-2.0","packages/jaeger-ui/src/hooks/useTraceDiscovery.test.ts","2026-07-20","https://proxy.golang.org/github.com/jaegertracing/jaeger-ui/@v/v2.20.0+incompatible.zip","pkg:golang/github.com/jaegertracing/jaeger-ui | pkg:github/jaegertracing/jaeger-ui | pkg:npm/gloo-jaeger-ui","f90c416609945c6398a9033f370ed106","29ebcca3651f456908abcf80781698a0"
"web/src/features/setup/hooks/useCreateSetup.test.ts","snippet","pending","81%","3-42","3-42","golang","github.com/stoa-platform/stoa","v2.2.0+incompatible","v2.2.0+incompatible","Apache-2.0, MIT, ISC, MIT-0, BSD-3-Clause, BSD-2-Clause, CC-BY-4.0, BSD-2-Clause-Views, CC-BY-SA-4.0, CC0-1.0, BlueOak-1.0.0, 0BSD, MPL-2.0","control-plane-ui/src/hooks/useProspects.test.ts","2026-06-23","https://proxy.golang.org/github.com/stoa-platform/stoa/@v/v2.2.0+incompatible.zip","pkg:golang/github.com/stoa-platform/stoa | pkg:github/stoa-platform/stoa","8464429021cbe5fba3a050f0079e6cf0","028ba755f96b2c3735fe6eb37ff45889"
"web/src/features/setup/hooks/useDeleteSetup.test.ts","snippet","pending","83%","4-65","8-69","jhonslife","GIRO","v2.0.2","v2.0.2","JSON","apps/desktop/src/hooks/enterprise/__tests__/useActivities.test.ts","2026-01-26","https://github.com/jhonslife/GIRO","pkg:github/jhonslife/giro","b300b7566d97f31865fff3983970a896","2bac91187a682d107ca2f65e173e8b99"
"web/src/features/setup/hooks/useSetup.test.ts","snippet","pending","67%","3-36","3-36","golang","github.com/stoa-platform/stoa","v2.2.0+incompatible","v2.2.0+incompatible","Apache-2.0, MIT, ISC, MIT-0, BSD-3-Clause, BSD-2-Clause, CC-BY-4.0, BSD-2-Clause-Views, CC-BY-SA-4.0, CC0-1.0, BlueOak-1.0.0, 0BSD, MPL-2.0","control-plane-ui/src/hooks/useAdminRoles.test.ts","2026-06-23","https://proxy.golang.org/github.com/stoa-platform/stoa/@v/v2.2.0+incompatible.zip","pkg:golang/github.com/stoa-platform/stoa | pkg:github/stoa-platform/stoa","8a27091f44e81b9d8644608c6f7222be","0447389d1a276fb67e718a1cc450cc96"
"web/src/features/setup/hooks/useSetupAccordionActions.test.ts","snippet","pending","43%","3-24","5-26","ofsazib","floci-dash","v0.0.84","v0.0.100","MIT","src/frontend/hooks/useBCMDataExports.test.ts","2026-06-21","https://github.com/ofsazib/floci-dash","pkg:github/ofsazib/floci-dash","638e90fa18372e1956723f36f0901a59","1d7ea3e364e9ad6d768c39343f1d48be"
"web/src/features/setup/hooks/useSetupCandidates.test.ts","snippet","pending","94%","3-57","3-57","bluewave-labs","verifywise","v2.3.1","v2.4.1","ISC","Clients/src/application/hooks/__tests__/useTaskEntityLinks.test.ts","2026-05-04","https://github.com/bluewave-labs/verifywise","pkg:github/bluewave-labs/verifywise","e3ba6a59bf6d3554d1b049fff41b2dd0","15a31e866ce469451490bff6be92ff08"
"web/src/features/setup/hooks/useSetupLinks.test.ts","snippet","pending","37%","34-54","262-282","g1331","AutoRouter","v0.1.0","v0.1.0","AGPL-3.0","tests/unit/hooks/use-upstreams.test.ts","2026-03-25","https://github.com/g1331/AutoRouter","pkg:github/g1331/autorouter","dd2cdca70cb923e5d5c8d85b742ad197","faf7460c6069a88b093f28ded38ec372"
"web/src/features/setup/hooks/useUpdateSetup.test.ts","snippet","pending","93%","4-76","5-77","omnigent-ai","omnigent","v0.7.0","v0.7.0","Apache-2.0","web/src/hooks/useConversations.test.ts","2026-07-27","https://github.com/omnigent-ai/omnigent","pkg:github/omnigent-ai/omnigent | pkg:pypi/omnigent-cursor | pkg:golang/github.com/omnigent-ai/omnigent","ff79b1a8fc5faf21370799a20fb07d01","21c4e5c74302bdffd9ec380177ee6e94"
"web/src/features/setup/hooks/useUpdateSetup.ts","snippet","pending","60%","4-18","2-16","wildland/governance","octant","9ebb6b85","0c99344f","","octant-9ebb6b85/client/src/hooks/mutations/useUserAcceptsTOS.ts","2023-08-05","https://gitlab.com/wildland/governance/octant","pkg:gitlab/wildland/governance/octant","d1c50aecfa82e2f93705bbbf95410e5f","029abe1abfd1aaa3e7f167b3e1764874"
"web/src/features/tag/api/tagApi.ts","snippet","pending","16%","32-46","38-52","djryanj","media-viewer","v0.19.0","v0.19.0","MIT","frontend/src/lib/api/client.ts","2026-06-15","https://github.com/djryanj/media-viewer","pkg:github/djryanj/media-viewer","051d47819d62fcd4e6eec4e6c1d48d34","bc0d3250ad41f8ff8115ac650a1bbe8a"
"web/src/features/tag/components/TagDeleteConfirmDialog.test.tsx","snippet","pending","91%","4-47","7-50","jfolcini","agaric","0.1.3","0.1.3","GPL-3.0-only","src/components/__tests__/UnpairConfirmDialog.test.tsx","2026-04-25","https://github.com/jfolcini/agaric","pkg:github/jfolcini/agaric","3363940f455ba16f0c75cd5c9c3f1ea2","1b73e36eac1c7063905d7132a2d9b940"
"web/src/features/tag/components/TagDeleteConfirmDialog.tsx","snippet","pending","38%","7-12,38-57","6-11,40-59","zako-ac","zako3","996937e","bc4b094","AGPL-3.0","web/app/src/components/common/confirm-dialog.tsx","2026-05-19","https://github.com/zako-ac/zako3","pkg:github/zako-ac/zako3","03d2842bc70cbcd672c48beea6f080ab","21412c2ef823311b14521955ba9f407a"
"web/src/features/tag/components/TagFormDialog.test.tsx","snippet","pending","55%","29-95","22-88","golang","github.com/tranvuongduy2003/go-copilot","v0.0.0-20260224160801-ff241635b7af","v0.0.0-20260224160801-ff241635b7af","","frontend/src/features/users/components/user-form-dialog.test.tsx","2026-02-24","https://proxy.golang.org/github.com/tranvuongduy2003/go-copilot/@v/v0.0.0-20260224160801-ff241635b7af.zip","pkg:golang/github.com/tranvuongduy2003/go-copilot","cbe32bc699737e82d96e17605657972d","f827bbbcd6ea01c755e72a98ab560522"
"web/src/features/tag/components/TagFormDialog.tsx","snippet","pending","38%","43-100","189-246","mckinsey","agents-at-scale-ark","v0.1.48","v0.1.56","Apache-2.0","services/ark-dashboard/ark-dashboard/components/editors/tool-editor.tsx","2025-12-18","https://github.com/mckinsey/agents-at-scale-ark","pkg:github/mckinsey/agents-at-scale-ark | pkg:golang/github.com/mckinsey/agents-at-scale-ark | pkg:npm/%40agents-at-scale/ark | pkg:pypi/ark-sdk","d78ad8c101de43ada8793c2bf5a7bea7","2480b5ad74682fcc8d903787cc0db5a8"
"web/src/features/wizard/Step04Preset.tsx","snippet","pending","14%","29-34","285-290","","github.com/damione1/thread-art-generator","v0.0.0-20250421034455-09927c640fea","v0.0.0-20250423022854-e9064cc3390a","MIT","web/src/app/dashboard/arts/new/page.tsx","2025-04-21","https://proxy.golang.org/github.com/damione1/thread-art-generator/@v/v0.0.0-20250421034455-09927c640fea.zip","pkg:golang/github.com/damione1/thread-art-generator","bea6896f6301d73b24cbc36fcabad5cd","5793c37167c0a49e4f3eed34ba9b232e"
"web/src/features/wizard/WizardProgress.tsx","snippet","pending","26%","5-10","5-10","henribesnard","ragkit_desktop","v1.4.5","v1.4.37","MIT","desktop/src/components/wizard/WizardProgress.tsx","2026-03-07","https://github.com/henribesnard/ragkit_desktop","pkg:github/henribesnard/ragkit_desktop","c7823d30463c5a680d2aa8467d70ad65","4e5cd38e7a0a6f2a36c6758deed96102"
"web/src/hooks/useIsMobile.test.ts","snippet","pending","46%","42-78","38-74","yeongseon","cloudblocks","v0.32.0","v0.47.0","Apache-2.0","apps/web/src/shared/hooks/useIsMobile.test.ts","2026-04-01","https://github.com/yeongseon/cloudblocks","pkg:github/yeongseon/cloudblocks","b88b1de0e7dbfa12d4af41f669f77fdd","12ab24ea1142cea49b42b58b99af893a"
"web/src/hooks/useIsMobile.ts","snippet","pending","70%","5-19","7-21","kenlasko","monize","v1.9.7","v1.13.0","AGPL-3.0, AGPL-3.0-only","frontend/src/hooks/useIsMobile.ts","2026-05-05","https://github.com/kenlasko/monize","pkg:github/kenlasko/monize","ed6031a16f0fa6900ddb72ec1161a560","9fab4badc0c2dac5ba0c0485b6bf681b"
