"File","Id","MatchPercent","Lines","OssLines","Hits","Vendor","Component","Version","Latest","Licenses","Copyleft","Purl","Url","OssFile","Status"
"web/src/features/combo/components/ComboDetailHeader.test.tsx","snippet","18","69-90","455-476","6","golang","github.com/seanbao/mnemonas","v0.0.0-20260718155800-bfdad2a13915","v0.0.0-20260718155800-bfdad2a13915","MIT","no","pkg:golang/github.com/seanbao/mnemonas, pkg:github/seanbao/mnemonas","https://proxy.golang.org/github.com/seanbao/mnemonas/@v/v0.0.0-20260718155800-bfdad2a13915.zip","web/src/pages/Trash.test.tsx","pending"
"web/src/features/combo/components/DuplicateWarning.tsx","snippet","80","7-36","11-40","7","mai-with-u","maibot","1.0.0-pre.1","1.0.0-pre.10","GPL-3.0-only","yes","pkg:github/mai-with-u/maibot","https://github.com/mai-with-u/maibot","dashboard/src/routes/resource/expression/ExpressionDialogs.tsx","pending"
"web/src/features/combo/components/PermanentDeleteConfirm.tsx","snippet","84","7-46","6-45","9","different-ai-studio","teamclaw-next","v0.2.0","v0.2.23","MIT","no","pkg:github/different-ai-studio/teamclaw-next","https://github.com/different-ai-studio/teamclaw-next","packages/app/src/components/chat/OfflineSendConfirmDialog.tsx","pending"
"web/src/features/combo/components/PutConfirmDialog.test.tsx","snippet","43","12-29","64-81","5","jfolcini","agaric","0.1.18","0.1.18","GPL-3.0-only","yes","pkg:github/jfolcini/agaric","https://github.com/jfolcini/agaric","src/components/__tests__/ConfirmDestructiveAction.test.tsx","pending"
"web/src/features/combo/components/PutConfirmDialog.tsx","snippet","75","7-31","7-31","9","mai-with-u","maibot","1.0.0-pre.1","1.0.0-pre.10","GPL-3.0-only","yes","pkg:github/mai-with-u/maibot","https://github.com/mai-with-u/maibot","dashboard/src/routes/resource/expression/ExpressionDialogs.tsx","pending"
"web/src/features/combo/hooks/useCompareCombos.test.tsx","snippet","23","2-21","6-25","7","mmmarxdr","daimon-frontend","v0.6.0","v0.11.1","","","pkg:github/mmmarxdr/daimon-frontend","https://github.com/mmmarxdr/daimon-frontend","src/hooks/__tests__/useProviderModels.test.tsx","pending"
"web/src/features/combo/hooks/useTrashCombos.test.ts","snippet","93","4-58","4-58","8","ek33450505","cast-desktop","v1.2.0","v1.2.1","MIT","no","pkg:github/ek33450505/cast-desktop","https://github.com/ek33450505/cast-desktop","src/dashboard/api/useTokenSpend.test.ts","pending"
"web/src/features/config/QRCodeModal.test.tsx","snippet","28","16-24","74-82","2","edehvictor","stellaryield","c2bb08c","03d1459","MIT","no","pkg:github/edehvictor/stellaryield","https://github.com/edehvictor/stellaryield","client/src/features/alerts/AlertsModal.test.tsx","pending"
"web/src/features/config/QRCodeModal.tsx","snippet","27","22-39","61-78","4","haven-chat-org","web","build-c91e2f5","build-cb4effd","Vim, Zed, AGPL-3.0",", , ","pkg:github/haven-chat-org/web","https://github.com/haven-chat-org/web","src/components/ExportModal.tsx","pending"
"web/src/features/config/SettingsSectionPresetLink.tsx","snippet","31","4-9","5-10","2","vegaprotocol","frontend-monorepo","v0.18.0-core-0.68.0","v0.18.4-core-0.68.0","MIT","no","pkg:github/vegaprotocol/frontend-monorepo","https://github.com/vegaprotocol/frontend-monorepo","apps/token/src/routes/home/index.tsx","pending"
"web/src/features/config/useConfig.test.ts","snippet","51","19-44","64-89","3","bluewave-labs","verifywise","v2.4","v2.4.1","ISC","no","pkg:github/bluewave-labs/verifywise","https://github.com/bluewave-labs/verifywise","Clients/src/application/hooks/__tests__/useGovernanceOs.test.ts","pending"
"web/src/features/config/useUpdateConfig.ts","snippet","42","3-14","3-14","2","golang","github.com/robwittman/pillar","v0.0.0-20260312184534-9233e29350e0","v0.0.0-20260416005233-23d18a8edc44","","","pkg:golang/github.com/robwittman/pillar, pkg:github/robwittman/pillar","https://proxy.golang.org/github.com/robwittman/pillar/@v/v0.0.0-20260312184534-9233e29350e0.zip","web/src/hooks/useConfig.ts","pending"
